12.4638,56.4514
82.6596,24.8901
15.3664,94.7179
97.2126,83.5737
17.4021,22.5346
15.1732,86.7417
14.4792,80.8152
36.5701,69.1048
25.4613,86.8965
21.4739,45.3514
16.3309,59.6852
91.2134,66.3990
8.4658,13.2744
24.1308,81.6859
38.3571,21.7037
37.8447,5.8893
77.0146,2.5450
37.6565,25.2710
80.9616,96.0209
76.2592,48.2779
84.7532,0.2532
56.1711,88.9196
73.6512,96.1358
81.4721,26.2750
89.5750,88.2199
52.5263,17.7505
86.7722,0.2266
4.0586,98.3762
25.4441,50.7737
64.1226,81.3340
45.7567,13.9098
46.3596,68.5819
64.6441,12.6871
64.1369,76.1815
34.7752,39.5029
32.1763,49.2629
91.2217,75.7547
53.6579,39.5040
39.8917,51.6818
11.6214,77.4824
98.2528,6.4137
94.1724,38.0718
15.2628,76.2795
13.4025,92.4309
94.7795,25.6973
42.6699,34.5457
91.2655,84.2903
82.4227,29.1406
6.4490,40.3398
32.0267,96.7750
50.1182,67.9581
83.1802,87.8202
48.3317,13.0581
10.7397,71.9768
77.9234,47.7978
87.5823,60.3779
45.7780,47.1340
54.4734,64.8736
94.2687,45.0710
75.3666,4.1122
77.5560,23.2660
58.2220,1.8453
7.7979,1.3593
53.1490,36.0415
27.8276,59.0726
27.9683,31.9528
48.7161,59.4266
34.1889,97.3517
30.8314,15.1467
50.5109,47.5687
87.5353,48.8233
51.5540,66.3886
71.5239,35.7538
78.4124,90.4167
54.9092,47.3412
28.2039,70.3300
22.9933,57.8789
30.4347,64.9812
28.7004,34.9267
54.4968,59.8764
77.5008,33.5122
39.8632,9.6594
18.0573,70.7833
87.4458,88.4031
94.8844,19.5869
15.7891,82.3742
49.2222,31.0333
67.7100,31.7623
35.1627,45.9386
19.9755,31.7286
36.5063,19.0775
88.1419,36.9184
11.7244,58.1934
22.6039,85.0476
30.9213,65.8520
4.0294,39.0197
37.4969,9.4342
79.7463,87.8592
3.9139,78.7806
41.6683,39.8318
