X,Y
DOUBLE,DOUBLE
-23.497534,28.756069
39.242960,-15.821915
-55.035580,6.890533
-4.011006,-58.067049
8.255992,41.657617
-48.253484,11.092937
-43.492728,14.690210
-22.214506,1.560921
-43.181473,2.140629
-9.364359,26.600757
-24.330182,23.784294
7.767558,-44.202479
11.721805,54.051036
-39.360290,5.924688
19.575387,24.003335
32.956805,32.447007
55.660439,0.353223
16.143937,22.802679
-22.969934,-50.347750
15.831406,-22.134931
61.552764,-5.162083
-29.388093,-25.371682
-26.767911,-44.100325
37.447568,-15.498371
-11.883016,-53.830115
30.154489,13.781950
62.597275,-6.890100
-63.912477,14.793189
-12.032530,20.432714
-18.821892,-28.392094
30.042021,21.564347
-16.810228,-6.618413
40.653215,5.891729
-14.370371,-25.797396
2.410388,18.086939
-7.323068,15.390299
-0.297993,-48.943388
11.963615,1.799154
-5.505675,7.511493
-42.064017,18.841509
63.069507,-19.923185
33.698298,-32.421885
-39.183996,16.309270
-54.056616,9.741648
44.679070,-26.684345
10.680713,13.785602
-7.638188,-53.299971
35.456821,-17.768239
-12.643841,42.096203
-48.380219,-8.520616
-14.370417,-9.544762
-14.773860,-48.112058
32.079545,19.774226
-37.761281,22.387717
17.087560,-23.327464
11.123786,-38.023940
1.395336,4.735357
-9.506265,-11.740654
27.709868,-36.046381
53.474803,0.981731
38.061514,-10.598068
46.755363,16.916777
21.661209,60.655882
14.692691,3.990043
-17.984746,14.177784
5.478584,27.778377
-7.721022,-4.018650
-47.783633,-10.677417
21.423302,33.812299
3.415116,0.433051
21.066401,-32.137069
-12.290162,-9.989085
24.238088,-11.713624
-19.425858,-45.313364
5.836780,-3.245597
-27.504390,8.157250
-19.401156,18.951590
-21.762060,8.939430
3.283872,25.642191
-5.184096,-9.232373
29.195747,-15.734785
30.726232,28.798379
-33.029309,16.679814
-13.118355,-52.086274
50.002664,-23.683110
-44.174672,12.771533
17.025644,9.911121
25.751210,-6.404346
-2.944656,14.496398
1.627803,34.785994
20.904161,26.928535
31.641874,-26.636699
-25.374212,28.512424
-43.032479,5.540780
-22.266961,8.079126
-12.729442,44.851153
29.723183,30.953364
-16.544979,-45.169884
-47.083572,24.832743
5.614421,11.974885
